time_s,fz_N,velocity_mps,state,surface
17.85,-5.9614,0.0,CONTACT,MIR
17.9,-6.1881,0.1937,CONTACT,MIR
17.95,-6.0494,0.0,CONTACT,MIR
18.0,-6.0504,0.0,CONTACT,MIR
18.05,-5.9432,0.0,CONTACT,MIR
18.1,-5.8199,0.0,CONTACT,MIR
18.15,-6.2316,0.1923,CONTACT,MIR
18.2,-6.0411,0.0,CONTACT,MIR
18.25,-5.7198,0.0,CONTACT,MIR
18.3,-6.1648,0.0,CONTACT,MIR
18.35,-6.1806,0.0,CONTACT,MIR
18.4,-5.9756,0.1992,CONTACT,MIR
18.45,-5.8439,0.0,CONTACT,MIR
18.5,-6.0105,0.0,CONTACT,MIR
18.55,-5.747,0.0,CONTACT,MIR
18.6,-5.8415,0.0,CONTACT,MIR
18.65,-5.8445,0.1948,CONTACT,MIR
18.7,-5.9305,0.0,CONTACT,MIR
18.75,-5.5758,0.0,CONTACT,MIR
18.8,-6.0824,0.0,CONTACT,MIR
18.85,-6.442,0.0,CONTACT,MIR
18.9,-5.7205,0.1907,CONTACT,MIR
18.95,-6.1428,0.0,CONTACT,MIR
19.0,-6.0297,0.0,CONTACT,MIR
19.05,-5.7894,0.0,CONTACT,MIR
19.1,-6.3717,0.0,CONTACT,MIR
19.15,-6.3016,0.1899,CONTACT,MIR
19.2,-6.3461,0.0,CONTACT,MIR
19.25,-6.1847,0.0,CONTACT,MIR
19.3,-5.9379,0.0,CONTACT,MIR
19.35,-5.921,0.0,CONTACT,MIR
19.4,-5.9706,0.199,CONTACT,MIR
19.45,-6.294,0.0,CONTACT,MIR
19.5,-6.4735,0.0,CONTACT,MIR
19.55,-6.0006,0.0,CONTACT,MIR
19.6,-6.1058,0.0,CONTACT,MIR
19.65,-5.9196,0.1973,CONTACT,MIR
19.7,-5.8393,0.0,CONTACT,MIR
19.75,-5.9521,0.0,CONTACT,MIR
19.8,-5.8277,0.0,CONTACT,MIR
19.85,-5.9339,0.0,CONTACT,MIR
19.9,-5.8737,0.1958,CONTACT,MIR
19.95,-6.1436,0.0,CONTACT,MIR
20.0,-6.0386,0.0,CONTACT,MIR
20.05,-5.9633,0.0,CONTACT,MIR
20.1,-5.8385,0.1946,CONTACT,MIR
20.15,-6.082,0.0,CONTACT,MIR
